s,forward,upward,foamSource,crestMask,dForwardDs,dUpwardDs,flowSpeed,breakingWeight
80.4692,0.00268678,0.00172178,5.40385e-15,0,-0.000369455,-0.000313257,0,0
80.9384,0.0025185,0.00158062,3.87528e-15,0,-0.000348385,-0.000289295,0,0
81.4076,0.00235985,0.0014503,2.77432e-15,0,-0.000328376,-0.000267019,0,0
81.8768,0.00221035,0.00133005,1.98273e-15,0,-0.000309384,-0.000246325,0,0
82.346,0.00206952,0.00121915,1.41457e-15,0,-0.000291372,-0.000227112,0,0
82.8153,0.00193692,0.00111692,1.00748e-15,0,-0.000274294,-0.000209284,0,0
83.2845,0.00181212,0.00102275,7.16311e-16,0,-0.000258109,-0.00019275,0,0
83.7537,0.00169471,0.000936042,5.08418e-16,0,-0.000242778,-0.000177427,0,0
84.2229,0.00158429,0.00085625,3.60242e-16,0,-0.000228259,-0.000163234,0,0
84.6921,0.0014805,0.000782861,2.54811e-16,0,-0.000214521,-0.000150094,0,0
85.1613,0.00138298,0.000715399,1.79927e-16,0,-0.000201526,-0.000137938,0,0
85.6305,0.00129139,0.000653417,1.26832e-16,0,-0.000189241,-0.000126698,0,0
86.0997,0.0012054,0.000596503,8.92504e-17,0,-0.000177629,-0.000116312,0,0
86.5689,0.0011247,0.000544268,6.26972e-17,0,-0.000166659,-0.000106719,0,0
87.0381,0.001049,0.000496356,4.39681e-17,0,-0.000156304,-9.78635e-05,0,0
87.5073,0.00097802,0.000452432,3.07809e-17,0,-0.000146531,-8.96958e-05,0,0
87.9765,0.000911492,0.000412184,2.15118e-17,0,-0.000137314,-8.21655e-05,0,0
88.4457,0.000849163,0.000375326,1.50081e-17,0,-0.000128621,-7.5226e-05,0,0
88.915,0.000790792,0.000341591,1.04527e-17,0,-0.000120428,-6.88361e-05,0,0
89.3842,0.000736151,0.000310729,7.26747e-18,0,-0.000112711,-6.29557e-05,0,0
89.8534,0.000685022,0.000282512,5.0442e-18,0,-0.000105446,-5.75461e-05,0,0
90.3226,0.000637199,0.000256727,3.49504e-18,0,-9.86085e-05,-5.25729e-05,0,0
90.7918,0.000592486,0.000233177,2.4175e-18,0,-9.21757e-05,-4.80042e-05,0,0
91.261,0.0005507,0.000211679,1.6693e-18,0,-8.61267e-05,-4.3809e-05,0,0
91.7302,0.000511664,0.000192066,1.15068e-18,0,-8.04418e-05,-3.99587e-05,0,0
92.1994,0.000475212,0.000174181,7.91822e-19,0,-7.51012e-05,-3.64274e-05,0,0
92.6686,0.000441187,0.000157882,5.43945e-19,0,-7.00872e-05,-3.31906e-05,0,0
93.1378,0.000409441,0.000143035,3.73021e-19,0,-6.53803e-05,-3.02252e-05,0,0
93.607,0.000379833,0.000129518,2.55368e-19,0,-6.0964e-05,-2.75099e-05,0,0
94.0762,0.000352231,0.000117219,1.74522e-19,0,-5.68233e-05,-2.5025e-05,0,0
94.5454,0.00032651,0.000106034,1.19067e-19,0,-5.29419e-05,-2.27527e-05,0,0
95.0147,0.00030255,9.58676e-05,8.10927e-20,0,-4.93059e-05,-2.06756e-05,0,0
95.4839,0.00028024,8.66318e-05,5.51349e-20,0,-4.59005e-05,-1.87781e-05,0,0
95.9531,0.000259476,7.82459e-05,3.74217e-20,0,-4.27123e-05,-1.70456e-05,0,0
96.4223,0.000240158,7.06359e-05,2.53557e-20,0,-3.97297e-05,-1.54647e-05,0,0
96.8915,0.000222193,6.37336e-05,1.71506e-20,0,-3.69404e-05,-1.40229e-05,0,0
97.3607,0.000205493,5.74766e-05,1.15807e-20,0,-3.43329e-05,-1.27088e-05,0,0
97.8299,0.000189974,5.18075e-05,7.80628e-21,0,-3.18964e-05,-1.15117e-05,0,0
98.2991,0.000175561,4.66738e-05,5.253e-21,0,-2.96203e-05,-1.04219e-05,0,0
98.7683,0.000162178,4.20274e-05,3.52877e-21,0,-2.74957e-05,-9.43015e-06,0,0
99.2375,0.000149758,3.78244e-05,2.36642e-21,0,-2.55132e-05,-8.52826e-06,0,0
99.7067,0.000138236,3.40244e-05,1.58421e-21,0,-2.3664e-05,-7.70853e-06,0,0
100.176,0.000127552,3.05906e-05,1.05874e-21,0,-2.19397e-05,-6.9639e-06,0,0
100.645,0.000117648,2.74893e-05,7.06345e-22,0,-2.03327e-05,-6.28785e-06,0,0
101.114,0.000108471,2.469e-05,4.70432e-22,0,-1.8836e-05,-5.67444e-06,0,0
101.584,9.99716e-05,2.21644e-05,3.12775e-22,0,-1.74422e-05,-5.11816e-06,0,0
102.053,9.21029e-05,1.9887e-05,2.07595e-22,0,-1.61451e-05,-4.61392e-06,0,0
102.522,8.48208e-05,1.78346e-05,1.37549e-22,0,-1.49384e-05,-4.15717e-06,0,0
